Title,Code,Term,Description,Learning Outcomes,Module Content,Prerequisites,Lecturer
Nanotechnologies for Cancer Diagnosis and Cancer Therapy,BIOE70149,Autumn,"This module will introduce you to the latest nanotechnological advances in the field of cancer diagnostics and cancer therapies. This course will show how academic research can lead to applied science with direct impact on the way cancer patients are screened, diagnosed, monitored and treated.In particular, you will learn how molecular bioengineering has applications in the following fields:Development of minimally invasive screening tools (e.g. based on liquid biopsies)Diagnosis at the point of care (low-cost, automated technologies)&nbsp;Nanotechnologies for targeted drug deliveryNovel therapeutic approaches for Cancer","Upon successful completion of this module, you will be able to:Explain how diagnostic tests or screening tools are designed and engineered that can detect specific cancer biomarkers in tissues, cells or circulating bodily fluidsAssess whether a newly engineered technology is fit-for-purposeDescribe how small molecules, macromolecules and biomaterials can be engineered to target cancer cellsUnderstand the concepts of off-target effects and how they can be minimised using targeted therapiesSummarize and critically analyse the state of the art of engineered solutions for early detection and improved prognosis of cancer (e.g. via public screening of populations at risk; using more targeted drugs or drug delivery strategies)Write a research proposal to a professional standard that addresses a current medical need", Introduction to cancer biomarkersEngineering a new diagnostic test: from molecular recogntition to sensing deviceTechnical and clinical validation of new diagnostic technologiesPlatform technologies and point-of-care devices for cancer diagnosisEngineering new therapies for cancerNanotechnologies for targeted drug delivery2D and 3D in vitro models in cancer research ,N/A,Sylvain Ladame
Neuroscience,"BIOE60030,BIOE70020",Autumn,"BIO60030: As a student with a clinical background, you may already have a good understanding of the anatomy and the physiological principles that govern the function of the brain and nervous system that are introduced in this module. In this module, you will refresh these topics, and build on that understanding by considering the principles behind neurotechnology, learning about the \u2018state of the art\u2019 with regard to research methodology and becoming familiar with multi-level descriptions of common brain disorders.BIOE70020: In this course you will be introduced to the core neuroscience concepts, the \u2018state of the art\u2019 with regard to research methodology and become familiar with multi-level descriptions of common brain disorders.","Upon successful completion of this module, you will be able to:Identify the anatomy of major brain structuresExplain key concepts concerning the physiological basis of electrical and chemical signalling in the nervous systemCompare the generic principles by which neuronal circuits process sensory and motor informationAnalyse the basic principles of neuroscience simulation toolsEvaluate how well physiological signals can help us to understand motor and sensory systems, and use engineering and statistical approaches to analyse such dataCritically appraise the current level of development of the field of Neuroscience with reference to original research papersAssess the relationship between fundamental neuronal properties and whole organism behaviour in both health and diseaseFormulate appropriate hypotheses for scientific research in the field of neuroscience"," Fundamentals:anatomy of neurons and the human brain; electrical properties of excitable cells (membrane potential, the action potential, Hodgkin and Huxley models, axon and dendrites: the cable equation); synapses (structure and function, quantal chemical transmission, ionotropic\/metabotropic receptors, synaptic excitation and inhibition, electrical synapses, postsynaptic integration, plasticity and learning); sensory transduction from the detector to the brain: vision, audition, olfaction; neuromodulatory systems; neuro-glial interactions, active sensing, attention.&nbsp;Technology for Neuroscience:model systems; molecular tools (genetic manipulation, e.g., knock-out\/knockdown, opto- and pharmaco-genetics, fluorescent indicators); modern electrophysiology and imaging methods. ",N/A,Andriy Kozlov
Neurotechnology Research Project,BIOE70073,"Autumn,Spring,Summer",This module is the main research component of the MRes in Neurotechnology Programme. You will conduct a multi-term research project run at the forefront of bioengineering research under the supervision of academics at Imperial College. You will gain practical experience developing and deploying bioengineering tools and principles for understanding problems in the field of neurotechnology.,"Upon successful completion of this module, you will be able to:Apply theoretical knowledge to practical situations with due consideration of the limitations of theoretical modelsFormulate and develop a solution to a problem in an area of Bioengineering researchCritically select appropriate laboratory instrumentation and\/or methods, workshop equipment or computational tools and show you can you these correctly and safelyCommunicate the progress and outcomes of project work effectively and accurately, using technical information where relevant both orally and in written formPlan and manage work over several months, meeting deadlines and working within other externally defined constraintsCritically evaluate your project outcome and take personal responsibility for the quality of your work", Your Research Project is an important part of the programme. Projects give you an opportunity to build on the knowledge and skills you have developed in your taught modules and apply this to current problems in the field of Bioengineering.&nbsp;The technical content of this module will be dependent on your project choice and may be linked to a taught module or more closely linked to the research of an academic member of staff. Depending on your project choice you may receive some lab-based training under the direction of a research group. ,N/A,Hayriye Cagnan
Non-Ionising Functional and Tissue Imaging,BIOE70035,Spring,"In this module, you will build on your understanding developed in the module \u2018Principles of Biomedical Imaging\u2019 and further investigate the principles of operation of the modalities of MR and US. You will also discuss how these different modalities can be used safely. You will discuss the latest uses and advanced features of medical imaging (MR and US) in modern hospital practice as well as research imaging tools such as Optical Coherence tomography and the use of different techniques for enhancing contrast.","Upon successful completion of this module, you will be able to:Explain the principles of operation and associated equipment used in advanced imaging features in current medical imaging systemsCritically select methods to optimise the contrast of different imaging modalitiesEvaluate patient exposures and discuss these within the framework of safety guidelines and regulations&nbsp;Calculate image parameters such as pixel size, beam width etcManipulate images in k-spaceApply appropriate procedures to check the quality of scanners and images, such as the use of phantoms to assess ultrasound image qualityCritically compare the relative merits of different imaging modalities"," Ultrasonic Imaging Transducer arrays: Linear, linear phased, annular. Electro-acoustic modelling.U\/S Field Theory: Beam Forming, lateral and axial resolution, beam steering, focussing and anodization.3D Ultrasound: Position sensing, image data acquisition, interpolation techniques, editing procedures, volume and surface rendering techniques, display modes, ultrasound tomography, QA protocols, Acoustic output measurements, preventative maintenance protocols, first-line maintenance.Contrast Agents, Harmonic and Super resolution Imaging: Nature of contrast agents, areas of clinical application, fundamental and harmonic imaging, localisation and tracking microbubbles.Dosimetry and Safety: Thermal, non-linear and cavitation effects. Ultrasound field measurements, thermal and mechanical indices, operating parameters, International safety regulations;Magnetic Resonance Imaging: NMR phenomenon. Reference frames, resonance and Bloch equations.MR Hardware: Magnet design and constraints, superconductivity, gradient coil design, gradient performance, eddy currents and shielding.Components of Receiver chain: coil design, coil loading, quadrature and array coils, SNR vs field strength.Advanced pulse sequences: CPMG, Stimulated echoes.Fast Imaging Sequences: k-space, segmented sequences, FLASH, turbo-FLASH, Fast spin-echo, Echo-planar, sequential scanning.Clinical Scanning Techniques: Contrast agents, paramagnetic ions, positive and negative contrast agents, fat suppression, chemical shift, chemical and motion artefacts, gating, STIR, in and out-phase techniques, chemical selection, spatial saturation.MR Angiography: Physics of flow effects, in-flow, phase effects, gradient moment rephasing, time-of-flight MRA, phase-contrast MRA, 2D and 3D techniques, TONE, MIP, quantitative velocity measurement, Fourier encoding;Advanced contrast mechanisms: BOLD effect, diffusion, perfusion, magnetisation transfer.MR Spectroscopy: chemical shift, common nuclei for investigation, spectral features, line widths, technical requirements, localisation methods, CSI.MR Image Quality: SNR and resolution, assessing image quality, test objects, parameters, test materials;MR Safety II: Bioeffects &amp; safety, biological effects of static, time-varying fields, magneto-hydrodynamic effect, neuro-muscular stimulation, heating, SAR, exposure limits and units. Pacemakers, implants, standards, guidance and organisational issues, siting and environmental issues;Biomedical Optics: Optical Coherence Tomography, micro-confocal Endoscopy. ",Principles of Biomedical Imaging - Prerequisite,"Mengxing Tang, Peter Lally"
Orthopaedic Biomechanics,"BIOE60026,BIOE70019",Spring,"In this module you will be introduced to and develop your understanding of the basic mechanics of the musculoskeletal system. The course will cover the structure and function of the musculoskeletal tissues (bone, cartilage, muscle, tendon, ligament), the mechanics of the tissue (or tissue's response to mechanics), diseases and injury of the tissues, and will touch on clinical treatments.","Upon successful completion of this module, you will be able to:&nbsp;Describe musculoskeletal tissue structure and function using the correct terminologyDiscuss the mechanical properties of musculoskeletal tissues and how these are affected by the diseaseEvaluate the effects of loading on the musculoskeletal systemCompare the outcomes of different kinematic and kinetic scenariosCritically appraise the influence of implants on boneCalculate muscle and joint forces by applying mechanics principles to musculoskeletal systems"," Skeletal developmentMuscle structure &amp; functionBone mechanics, strength &amp; structureBone growth, adaptation, and fracture healingCartilage structure and function, including osteoarthritis treatments and therapiesTendon, ligament and meniscus structure, function &amp; mechanicsJoint structure, function, mechanics &amp; tribologySpine biomechanicsJoint replacementsJoint fusions ","Mechanics: basic solid mechanics, dynamics, kinematics, Newtonian mechanics, free body diagrams, force calculations, beam analysis, failure theories, factor of safety Students without these prerequisites should speak to the lecturer to determine if their background is suitable. Students on the iBSc course should obtain the requisite knowledge from Fundamentals of Biomedical Engineering.",Angela Kedgley
Physiological Fluid Mechanics,"BIOE60009,BIOE70030",Spring,"Students will gain an understanding of some advanced concepts in fluid mechanics and in the theory and implementation of numerical methods for computational fluid dynamics, and learn about their applications in physiology. They will learn some technical problem solving skills and also develop the ability of how to choose an appropriate method to solve problems, including an understanding of the advantages and limitations of different methods.","Upon successful completion of this module at Level 6, &nbsp;you will be able to:Define key concepts in fluid mechanicsApply Navier-Stokes equations appropriately in a variety of bioengineering situations such as blood flow in the bodyApply scaling of equationsFormulate mathematical descriptions of physical problems in fluid mechanicsCritically apply principles of fluid mechanics to real-life problems justifying any assumptions madeInterpret results to give their physical meaningCompare the appropriateness of fluid mechanics models for the analysis of different bioengineering problemsSolve familiar and unfamiliar fluid mechanics problems using appropriate analytical and computational techniques including finite element solversUpon successful completion of this module at Level 7, &nbsp;you will be able to:Define key concepts in fluid mechanicsApply Navier-Stokes equations appropriately in a variety of bioengineering situations such as blood flow in the bodyApply scaling of equationsFormulate mathematical descriptions of physical problems in fluid mechanicsCritically apply principles of fluid mechanics to real-life problems justifying any assumptions madeInterpret results to give their physical meaningCompare the appropriateness of fluid mechanics models for the analysis of different bioengineering problemsSolve familiar and unfamiliar fluid mechanics problems using appropriate analytical and computational techniques including finite element solversCritically reflect on your own understanding and direct independent learning&nbsp;"," In this module you will cover:Revision of basic fluid mechanics concepts, mass and momentum conservationThe constitutive relationship of a fluidProblems involving large or small scales, boundary layers, lubrication theory, Stokes dragFlow in porous media, the Darcy equationNumerical methods to solve the equations of fluid mechanicsThe cardiovascular system, the pressure and flow waveforms, the tube law, the Windkessel model, wave intensity analysis ","Mechanics and Electronics 1 - PrerequisiteComputer Fundamentals and Programming 1 - PrerequisiteFluid and Solid Mechanics 2 - PrerequisiteProgramming 2 - PrerequisiteBioengineering Science 2 - PrerequisiteMathematics 1 - PrerequisiteMathematics 2 - PrerequisiteVector calculus - familiarity with grad, div, curl and Laplacian operators in two and three dimensions. Appreciation that they are different in polar coordinates. Solving differential equations (including separation of variables, integrating factor, linear constant-coefficient homogeneous equations of all orders, use of complementary function and particular integral) Integration over surfaces and volumes in Carte",Choon Hwai Yap
Planning for Bioengineering Research,BIOE70047,"Autumn,Spring",This module covers the planning elements of the main research component of the MRes in Bioengineering Programme. You will conduct a literature review and develop a research plan to enable you to go on to conduct a multi-term research project.,"Upon successful completion of this module, you will be able to:Synthesise information from a wide range of sources and analyse it criticallyApply theoretical knowledge to develop a research plan with due consideration of the limitations of theoretical modelsReflect and identify your own training needs and organize self-directed study and autonomous learning to meet such needsCommunicate a proposed plan of work effectively and accurately in written form, using technical information where relevant"," In this module, you will develop a research plan which will draw on the knowledge and skills you have developed in your taught modules and how you can apply this to current problems in the field of Bioengineering.The technical content of this module will be dependent on your project choice but in general terms, you will investigate:the background for your proposed projectthe previous work that motivates the research questions proposed in your thesisthe methodology to be used in your project ",N/A,Rodrigo Ledesma
Planning for Medical Device Entrepreneurship,BIOE70044,"Autumn,Spring",This module covers the planning elements of the main research component of the MRes in Medical Device Design and Entrepreneurship. You will conduct a market analysis and provide a clear rational for the technology you propose to develop during your multi-term research project.,"Upon successful completion of this module, you will be able to:Synthesise information from a wide range of sources and analyse it criticallyApply theoretical knowledge to outline a development path for a device or technology, with due consideration of the limitations of theoretical modelsReflect and identify your own training needs and organize self-directed study and autonomous learning to meet such needsCommunicate a proposed plan of work effectively and accurately in written form, using technical and financial\/business information where relevant"," In this module, you will conduct a market analysis and provide a clear rationale for the technology you propose to develop during your main research project. Your report will draw on the knowledge and skills you have developed in your taught modules and how you can apply this to develop a device or technology to address a problem in the field of Bioengineering.The technical content of this module will be dependent on your proposed technology but in general terms, you will investigate:the market opportunities for the technologythe previously and currently used clinical strategies and\/or competing technologiesthe necessity of the proposed technology ",N/A,Danny O'Hare
Planning for Research,BIOE70040,"Autumn,Spring",This module covers the planning elements of the main research component of the MRes in Bioengineering Programme. You will conduct a literature review and develop a research plan to enable you to go on to conduct a multi-term research project.,"Upon successful completion of this module, you will be able to:Synthesise information from a wide range of sources and analyse it criticallyApply theoretical knowledge to develop a research plan with due consideration of the limitations of theoretical modelsReflect and identify your own training needs and organize self-directed study and autonomous learning to meet such needsCommunicate a proposed plan of work effectively and accurately in written form, using technical information where relevant"," In this module, you will develop a research plan which will draw on the knowledge and skills you have developed in your taught modules and how you can apply this to current problems in the field of Bioengineering.The technical content of this module will be dependent on your project choice but in general terms, you will investigate:the background for your proposed projectthe previous work that motivates the research questions proposed in your thesisthe methodology to be used in your project ",N/A,Hayriye Cagnan
Principles of Biomedical Imaging,"BIOE60029,BIOE70010",Autumn,"BIO60029: As a student with a clinical background, you may already be aware of how images of the human body can be obtained using different forms of penetrating radiation. In this moulde you will also develop a detailed understanding of how the underlying theory of the imaging modalities of CT, X-ray, MR, US and optical imaging and how these work in practice.BIOE70010: In this module, you will learn how images of the human body can be obtained using different forms of penetrating radiation. You will become familiar with the operating principles behind the imaging modalities of CT, X-ray, MR, US and general optical imaging work and the design and operation of the systems that create and capture these images. The examples used in this module will introduce you to the imaging technologies currently used in medicine in general and clinically in hospitals in the UK.","Upon successful completion of this module at Level 6, you will be able to:Explain how each non-ionising imaging modality (including ultrasound, MRI and optical imaging), is designed and operated to display tissue properties;Evaluate the use of the different imaging modalities in clinical and research applications ;Compare and contrast which tissue properties each non-ionising imaging modality can display;Analyse the accuracy with which each non-ionising imaging modality can measure the relevant tissue properties;Compare the properties of the contrast agents, and how the image may be manipulated using contrast enhancement techniques and how that relates to tissue function and morphology;Assess how flow, diffusion and molecular targets may be displayed and measured by the imaging techniqueCalculate the contrast and resolution of an imaging method from data previously captured using imaging processing algorithmsUpon successful completion of this module at Level 7, you will be able to:Critically describe how each non-ionising imaging modality (including ultrasound, MRI and optical imaging), is designed and operated to display tissue properties;Evaluate the use of the different imaging modalities in clinical and research applicationsCompare and contrast which tissue properties each non-ionising imaging modality can display;Analyse the accuracy with which each non-ionising imaging modality can measure the relevant tissue properties;Compare the properties of the contrast agents, and how the image may be manipulated using contrast enhancement techniques and how that relates to tissue function and morphology;Evaluate how flow, diffusion and molecular targets may be displayed and measured by the imaging techniqueCalculate the contrast and resolution of an imaging method from data previously captured using imaging processing algorithms"," X-ray Imaging: Nature and generation of X-rays, electron interaction with matter, X-ray spectrum, Characteristic X-rays, Interaction of X-rays with matter, attenuation and Beer's law, effect of tissue density and photon energy, Image formation, theoretical contrast, image mottle and geometric blurring, Beam hardening, Image quality, parameters and measurement, Dose and Contrast\/Noise, Equipment, Tube, Filters, Anti-scatter grid, Collimator, Computed Radiology, Fluoroscopic\/fluorographic imaging, Safety, Standard radiological safety checks;X-ray CT: Basic principle of CT, The central slice theorem, backprojection algorithm, Choice of reconstruction filter, Scanning configurations and implementation, Spiral CT Image Quality parameters and artefacts,Ultrasonic Imaging: Ultrasound propagation in tissue, generation, piezo-electric effect, transducer construction, Beam patterns, Fresnel &amp; Fraunhofer diffraction, Pulsed A-Mode systems, Envelope detection, TGC. B-Mode imaging, Scanning geometries, rectilinear, curvilinear, beam steering, B-mode processing, Dynamic range compression, scan conversion, Doppler shift, Continuous Wave Doppler, Pulsed Doppler, Aliasing;Magnetic Resonance Imaging: NMR signals, gyromagnetic ratio, spin populations, Types of magnet, Block diagram of MR system, field strengths, coils. T1and T2, free induction decay, spin dephasing, T2*, Basic pulse sequences, saturation recovery, inversion recovery, spin-echo, contrast mechanisms, Imaging, gradients, slice selection, frequency and phase-encoding, FOV, scan-time, multiple slices, k-space, Image Artefacts, Overview of MR Clinical Techniques, MR Safety I, Projectile effect, pacemakers, controlled areas, EM field effects on other equipment;Optical Imaging: Interaction of light with tissue, Microscopy, Confocal Microscopy, Fluorescence imaging, Minimally Invasive Surgery, Endoscopy. ",Students must be able to perform basic algebra. Students must be familiar with Fourier Transforms.,"Peter Lally, James Choi, Laki Pantazis"
Principles of Design,BIOE50016,Spring,"In this module, you will learn the principles of design for problem-informed design. You will work in small group to address a real design problem to develop your engineering design skills through practice; develop problem-solving skills; apply engineering skills from other modules to practice; and to develop soft skills in teamworking.","Upon successful completion of this module you will be able to:Identify correlated knowledge and skills needed for a particular problem and aquire information through literature research.Select appropriate engineering and laboratory methods, and develop a plan on how to use them for a practical problem.Participate in the organisation of a functioning project team.Critically reflect on the choice of methods, design choice, and outcome of the project."," This modules will cover the following topics:Key knowledge and skill building activities (depending on project choice, technical activities will be provided) The technical content of this module will be dependent on project choice and may be linked to a taught module. This module provide the opporturnity to apply technical skills learnt from taught module to an actual design project.Transferable skills, including: presentation skills, communication skills within a team, literature research skills ",N/A,Tweety Tang
"Probability, Statistics and Data Analysis",BIOE60011,Autumn,"The aim of this module is to provide a solid foundation in statistics and data analysis, to give you the knowledge and skills required for analysing and presenting data. During the module you will be introduced to the concepts that underly statistical models, and will develop an understanding of how to apply these models to real data using MATLAB. At the end of the module, you should have the confidence to carry out the most common statistical analyses, or to build upon your knowledge to utilise more specialised approaches.&nbsp;","Upon successful completion of this module you will be able to:Calculate common statistical quantities such as mean, standard deviation, confidence intervals and probabilitiesCompare different probability distributions including the Gaussian and Poisson distributionsDebate the merit and the limitations of the central limit theoremApply common statistical analysis such as test for statistical significance and linear regressionContrast different statistical quantities to describe dataJudge different techniques for statistical testsApply statistical tests, regression models and probabilistic descriptions to real-world dataDistinguish common statistical features in diverse data"," The module starts with motivation for statistics, then covers descriptive statistics and visualisation. The second lecture visits the fundamentals of probability, leading into random variables. We then define a statistic and introduce null-hypothesis testing and the pitfalls within. We continue with non-parametric tests and regression, and conclude with analysis of variance.&nbsp;The material is divided into the following lecturesDescriptive statistics and visualisationProbability theoryDiscrete random variablesContinuous and joint random variablesNormal distribution, Statistics and IntervalsIntroduction to null hypothesis statistical testing and z-testsT-tests and assumptionsNon-parametric tests and RegressionAnalysis of Variance ","Mathematics 1 - PrerequisiteMathematics 2 - PrerequisiteMathematics I and II Analysis, linear algebra",Joseph van Batenburg-Sherwood
"Probability, Statistics and Data Analysis",BIOE70027,Autumn,"The aim of this module is to provide a solid foundation in statistics and data analysis, to give you the knowledge and skills required for analysing and presenting data. During the module you will be introduced to the concepts that underly statistical models, and will develop an understanding of how to apply these models to real data using MATLAB. At the end of the module, you should have the confidence to carry out the most common statistical analyses, or to build upon your knowledge to utilise more specialised approaches.&nbsp;","Upon successful completion of this module you will be able to:Calculate common statistical quantities such as mean, standard deviation, confidence intervals and probabilitiesCompare different probability distributions including the Gaussian and Poisson distributionsDebate the merit and the limitations of the central limit theoremApply common statistical analysis such as test for statistical significance and linear regressionContrast different statistical quantities to describe dataJudge different techniques for statistical testsApply statistical tests, regression models and probabilistic descriptions to real-world dataDistinguish common statistical features in diverse data"," The module starts with motivation for statistics, then covers descriptive statistics and visualisation. The second lecture visits the fundamentals of probability, leading into random variables. We then define a statistic and introduce null-hypothesis testing and the pitfalls within. We continue with non-parametric tests and regression, and conclude with analysis of variance.&nbsp;The material is divided into the following lecturesDescriptive statistics and visualisationProbability theoryDiscrete random variablesContinuous and joint random variablesNormal distribution, Statistics and IntervalsIntroduction to null hypothesis statistical testing and z-testsT-tests and assumptionsNon-parametric tests and RegressionAnalysis of Variance ","Calculus, integrals, linear algebra, an understanding of functions of more than one variable. Some programming experience (any language) is preferrable.",Joseph van Batenburg-Sherwood
Programming 2,BIOE50010,Autumn,"In this module you will build on the content of computer fundamentals and programming 1 by extending your knowledge of skills in more advanced programming concepts using the Python language.By completing labs and assignments involving more complex programming skills including data structures, object oriented programming and algorithm design you will improve your understanding of programming and extend the range of what you can achieve.","At the end of this module students will be able to:Write, debug, compile, and run programs using PythonUse data structures appropriatelyKnow how to create and use algorithmsExplain and apply concepts of object-oriented programming"," Fundamentals of computers and programming in Python.Data and memory. Understanding expressions, literals, types, operators, etc.Computing and parsing. How to process data, receive input and print output, parse strings, etc.The flow of control. Decision and loop structures; passing to functions; function overloading.Object-oriented programming. Principles of object-oriented programming.Data structures.Algorithms. Searching and sorting ",Computer Fundamentals and Programming 1 - Prerequisite,James Choi
Reinforcement Learning for Bioengineers,BIOE70077,Autumn,"This module covers reinforcement, the common framework by which both robot and biological learning systems can learn how to act. In this module you will develop both basic and advanced knowledge in reinforcement learning across three core skills: theory, implementation, and evaluation. You will develop this understanding in the context of biomedical engineering applications, such as robotics and neuroscience. You will learn the fundamentals of both tabular reinforcement learning and deep reinforcement learning, and will gain experience in designing and implementing these methods for practical applications.","Upon completion of this module, you should be able to:Compare and contrast a range of reinforcement learning approaches.Propose solutions to decision making problems using knowledge of the state-of-the-art.Translate mathematical concepts into software to solve practical problems using Python and PyTorch.Evaluate the performance of a range of methods and propose appropriate improvements.Summarize complex data through clear visualisations to assist with evaluation.", The module content will include:Introduction to Reinforcement Learning and deriving the Bellman equation.The Markov Decision Process FrameworkMarkov Reward ProcessesThe PolicyMarkov Decision ProcessesDynamic ProgrammingTabular Reinforcement LearningDeep Reinforcement LearningDealing with High-dimensional state and action spacesDealing with Continuous state and action spaces ,N/A,Faraz Janan
Sensors and Actuation,BIOE40014,"Summer,Spring","The aim of this module is to provide you with a focused view of key components of active medical devices. This approach is designed to provide the opportunity to introduce many areas of active device technology, with emphasis on the physical principles of sensing and actuation. &nbsp;A broad view of sensing technology is taken, with emphasis on the many different roles that sensing plays in modern medical devices, and the design considerations of a variety of actuators in use within the field of medical devices.","By the end of this module you will be able to:Explain the physical principles of sensors and actuators in use within medical devices.Identify a range of sensing and actuation technologies, and where they are used within medical devices.Describe the skillset needed to design self-contained devices.Explain technical aspects of the design of self-contained devices and their performance criteria.By the end of the Rapid Prototyping lab, you will be able to:Design parts and assemblies with computer aided design.&nbsp;Rapid Prototyping with 3D printing and laser cuttingAssemble electronic circuitsInterface with microcontrollers.&nbsp;Use commonly available hardware for mechanical assembliesExplain material properties and to select appropriate materials for desired results"," Sensors: Categorisation of sensors (Biosensors, Electrical, Mechanical, Electrochemical, Optical); Physical Principles of Operation: Bioreceptors, Electrochemical, Ionic Channels, Fluorescent, Magnetic, Field Effect Devices. Actuators: &nbsp;Characterisation of types (e.g. Mechanical, Chemical Release, Electrical). Requirements and design considerations. &nbsp;Device Architectures - &nbsp;Diagnostic vs sensing and control; public health vs patient-specific. Applications: taken from cardiovascular, respiratory, assistive, neuro-control. &nbsp;Device-oriented teardowns. ",N/A,"Rylie Green, Ben Almquist, Tweety Tang"
Signals and Control,BIOE50011,"Autumn,Spring","In this module you will be introduced to the foundations of signal processing and linear control systems analysis. The module have a clear focus on developing your ability to have an intuitive understanding of the main mathematical descriptions that are used, and the reasons for their use.The module also aims to provide you with an understanding of applications of signals and control across the field of Bioengineering including biomedical applications and medical imaging.","Upon successful completion of this module you will be able to:Understand and explain applications of signal processing in biomedical engineering - this includes in imaging techniques, and describing physiological signals.Model or represent a signal and\/or control system using either mathematical expressions or simulations in Matlab, or equivalent programming language. Analyse signals quantitatively and with the use of computational methods.Analyse and explain dynamic systems.Design control systems for familar and unfamiliar bioengineering problems.", This module will cover the following topics:Definition of Signals &amp; SystemsFourier RepresentationsSampling and digital signalsLinear Time-Invariant (LTI) systemsControl ,"The Department of Bioengineering's Mathematics 1 course is a prerequisite. A working knowledge of Matlab is also required. A clear understanding of Mathematics 2 helps in this course. Fourier series analysis. Vectors and linear algebra; solution of first order differential equations; trigonometric identities (expansions); determinants and inversion of 2x2 matrices; complex number arithmetic; partial-fraction expansion. Convolutions and other operations on signals, Fourier representations and Fourier transforms, sampling and digital signals, LTI systems.",Dario Farina
Software Engineering for Bioengineers,"BIOE60010,BIOE70071",Autumn,"BIO60010: In this module you will gain experience working as part of a development team on a significant Bioengineering software project. This will involve expanding on the individual programming skills learnt in Computer fundamentals and Programming 1 and Programming 2 to deepen understanding of the object-oriented paradigm, using a typed language, write the project code, as well as learning to use software engineering tools including those necessary for managing the project lifecycle, requirements capture, design, modelling, testing and effective and efficient teamworkBIOE70071: In this module you will gain experience working as part of a development team on a significant Bioengineering software project, alongside undergraduate students in the department of Bioengineering. This will involve expanding the individual programming skills learnt as part of your undergraduate degree to deepen understanding of the object-oriented paradigm, using a typed language, write the project code, as well as learning to use software engineering tools including those necessary for managing the project lifecycle, requirements capture, design, modelling, testing and effective and efficient teamwork..","Upon successful completion of this module, you will be able to:Work effectively in a development team on a significant software project:Plan and track the project lifecycle;Evaluate client requirements;Model and design a software architecture;Design and implement code using the object-oriented paradigm and a typed languageImplement and test the project.Upon successful completion of this module you will be able to:Work effectively in a development team on a significant software project:Plan and track the project lifecycle;Evaluate client requirements;Model and design a software architecture;Design and implement code using the object-oriented paradigm and a typed languageImplement and test the project;Critically reflect on your own understanding and direct independent learning"," This is primarily a project-based module, but there will be an introduction to software engineering methods and CASE tools. ",N/A,Martin Holloway
Systems Physiology,BIOE70026,Autumn,"In this module, you will be introduced to the main concepts of systems physiology in a way that is sympathetic to your engineering or physical sciences background. This module aims to allow you to build a basic understanding of a broad range of topics in human physiology relevant to bioengineering and biomedical applications, and so prepare you to meet these concepts in other modules on your Bioengineering programme. &nbsp; &nbsp; &nbsp;","Upon successful completion of this module, you will be able to:Apply engineering and mathematical models to model the function of organ systems within the human body.Distinguish subtilities in the use of cellular biology terms to describe a biological process.Evaluate new developments of biotechnology.&nbsp;Critically apply physiological knowledge for engineering purposes."," The content of this module will cover human physiology, from a systems perspective. There is a broad range of topics to provide perspective for bioengineering and biomedical applications:The KidneyNeurons and BiophysicsSkeletal MusclesThe Heart and cardiovascular systemThe Respiratory systemThe Digestive systemEndocrinologySensory systemsExperimental neuroscience ",Basic knowledge of physiology,"Nick Linton, Holger Krapp"
Tissue Engineering and Regenerative Medicine,"BIOE60013,BIOE70032",Spring,"This module will introduce you to the fundamental concepts of normal tissue development and how researchers have used this information to imitate nature in a lab setting, engineering cells and tissues that may be used to model diseases, treat diseases, or develop drugs.Topics that you have the opportunity to discuss include:Societal challenges for tissue engineeringCell building blocksNormal tissue development and regenerationAdult stem cells -Induced pluripotent stem cellsChallenges in imitating natureCell and tissue therapyGene therapyDrug development","Upon successful completion of this module you will be able to:Explain the pillars and principles of tissue engineeringDefine cell building blocks, and be able to explain how these building blocks are composed and can be changed to make cells with different functionsExplain why different cell types are required in different tissuesDescribe common stem cell techniques such as those for generating induced pluripotent stem cells and for stem cell differentiation and how these protocols were developed (imitating nature)Discuss where gene therapy and cell and tissue therapy are beneficial and any ethical implications of these therapiesDescribe how tissue engineering can be beneficial in drug developmentPropose tissue engineering solutions for different diseasesDesign experimental protocols for the processing of tissue samples, including the screening of blood samples or tissue biopsies for a defined range of diseases"," Cell building blocks: How do cells take a DNA code to make proteins? Amino acid structure and charge. INDELS and SNPS and their impact on protein structures.Cells: Molecules that organise cell structure. Intermediate filaments, adhesion molecules, extracellular matrix.Tissue development: Complexity of tissues. Challenges in imitating nature. Hox codes and positional identity.Stem cells: Adult stem cells and their niche. Embryonic stem cells and development. Reprogramming; Induced pluripotent stem cells and cloning. Ethical and scientific obstacles.Tissue engineering: Directed differentiation, transdifferentiation, reporters, imaging techniques, 3D printing. In vitro differentiation examples include neuronal and heart tissue. In vivo organ regeneration. Organs on a chip.Cell and gene therapies: Fibroblast and bone marrow therapy. Role of the immune system and implications for transplantation. Revertant mosaicism, and gene correction.Drug development. Drug delivery challenges. Routes of drug delivery. IPSC and drug discovery. ",Medical and Biochemical Science 1 - PrerequisiteMedical and Biological Science 1  - Prerequisite,Claire Higgins
